estado;data;obitos
Goiás;2016/07/01;2317
Maranhão;2016/07/01;602
Mato Grosso;2016/07/01;1150
Mato Grosso do Sul;2016/07/01;1379
Minas Gerais;2016/07/01;12105
Paraná;2016/07/01;7101
Paraíba;2016/07/01;1707
Pará;2016/07/01;1042
Pernambuco;2016/07/01;4653
Piauí;2016/07/01;564
Rio Grande do Norte;2016/07/01;719
Rio Grande do Sul;2016/07/01;6853
Rio de Janeiro;2016/07/01;5793
Rondônia;2016/07/01;694
Roraima;2016/07/01;184
Santa Catarina;2016/07/01;3287
Sergipe;2016/07/01;1181
São Paulo;2016/07/01;26969
Tocantins;2016/07/01;315
Acre;2016/08/01;258
Alagoas;2016/08/01;1178
Amapá;2016/08/01;200
Amazonas;2016/08/01;246
Bahia;2016/08/01;4795
Ceará;2016/08/01;2552
Distrito Federal;2016/08/01;1202
Espírito Santo;2016/08/01;2086
Goiás;2016/08/01;2500
Maranhão;2016/08/01;561
Mato Grosso;2016/08/01;1423
Mato Grosso do Sul;2016/08/01;1334
Minas Gerais;2016/08/01;12244
Paraná;2016/08/01;7214
Paraíba;2016/08/01;1972
Pará;2016/08/01;1140
Pernambuco;2016/08/01;4642
Piauí;2016/08/01;656
Rio Grande do Norte;2016/08/01;779
Rio Grande do Sul;2016/08/01;5947
Rio de Janeiro;2016/08/01;5176
Rondônia;2016/08/01;688
Roraima;2016/08/01;187
Santa Catarina;2016/08/01;3427
Sergipe;2016/08/01;1122
São Paulo;2016/08/01;27311
Tocantins;2016/08/01;381
Acre;2016/09/01;232
Alagoas;2016/09/01;955
Amapá;2016/09/01;182
Amazonas;2016/09/01;172
Bahia;2016/09/01;4409
Ceará;2016/09/01;2424
Distrito Federal;2016/09/01;1172
Espírito Santo;2016/09/01;1866
Goiás;2016/09/01;2339
Maranhão;2016/09/01;528
Mato Grosso;2016/09/01;1342
Mato Grosso do Sul;2016/09/01;1305
Minas Gerais;2016/09/01;10879
Paraná;2016/09/01;6304
Paraíba;2016/09/01;1646
Pará;2016/09/01;557
Pernambuco;2016/09/01;4638
Piauí;2016/09/01;636
Rio Grande do Norte;2016/09/01;777
Rio Grande do Sul;2016/09/01;5292
Rio de Janeiro;2016/09/01;4582
Rondônia;2016/09/01;430
